LEASE|20250515|Sheik Siphat|notsheiksiphat2003@gmail.com|10112|1993|
	Ford|Explorer|SUV|Red|525123|995.00|
	497.50|69.65|995.00|29.38
LEASE|20250512|sheik siphat|sheik@gmail.com|37846|2001|
	Ford|Ranger|truck|Yellow|172544|1995.00|
	997.50|139.65|1995.00|58.90
LEASE|20200419|sheik|shsdf@gmail.com|10112|1993|
	Ford|Explorer|SUV|Red|525123|995.00|
	497.50|69.65|995.00|29.38
LEASE|20250519|sheik|sheik212@gmail.com|37846|2001|
	Ford|Ranger|truck|Yellow|172544|1995.00|
	997.50|139.65|1995.00|58.90
SALE|20250215|sheik|sheiK@gmail.com|10112|1993|
	Ford|Explorer|SUV|Red|525123|995.00|
	49.75|100.00|295.00|1439.75|YES|63.33
SALE|20250516|sheik Siphat|sheiksiphat123@gmail.com|37846|2001|
	Ford|Ranger|truck|Yellow|172544|1995.00|
	99.75|100.00|295.00|2489.75|YES|109.51
LEASE|20250517|sheik siphat|sheiksipat2003@gmail.com|30333|2018|
	Ford|Explorer|SUV|White|60000|19995.23|
	9997.62|1399.67|19995.23|590.34
LEASE|20250319|sheik siphat|sheiksiphat2@gmail.com|44901|2012|
	Honda|Civic|SUV|Gray|103221|6995.00|
	3497.50|489.65|6995.00|206.52
